reference_date,year,state_code,sex_code,age_group,census_basis,population_persons
2021-12-31,2021,13,M,90+,Census 2011 basis,4545
2021-12-31,2021,14,F,0-17,Census 2011 basis,315800
2021-12-31,2021,14,F,18-29,Census 2011 basis,198526
2021-12-31,2021,14,F,30-44,Census 2011 basis,374304
2021-12-31,2021,14,F,45-64,Census 2011 basis,543036
2021-12-31,2021,14,F,65-74,Census 2011 basis,277625
2021-12-31,2021,14,F,75-84,Census 2011 basis,234556
2021-12-31,2021,14,F,85-89,Census 2011 basis,68613
2021-12-31,2021,14,F,90+,Census 2011 basis,37658
2021-12-31,2021,14,M,0-17,Census 2011 basis,332991
2021-12-31,2021,14,M,18-29,Census 2011 basis,217370
2021-12-31,2021,14,M,30-44,Census 2011 basis,414501
2021-12-31,2021,14,M,45-64,Census 2011 basis,564575
2021-12-31,2021,14,M,65-74,Census 2011 basis,241337
2021-12-31,2021,14,M,75-84,Census 2011 basis,169402
2021-12-31,2021,14,M,85-89,Census 2011 basis,39287
2021-12-31,2021,14,M,90+,Census 2011 basis,13421
2021-12-31,2021,15,F,0-17,Census 2011 basis,157567
2021-12-31,2021,15,F,18-29,Census 2011 basis,96901
2021-12-31,2021,15,F,30-44,Census 2011 basis,186210
2021-12-31,2021,15,F,45-64,Census 2011 basis,318504
2021-12-31,2021,15,F,65-74,Census 2011 basis,159334
2021-12-31,2021,15,F,75-84,Census 2011 basis,127759
2021-12-31,2021,15,F,85-89,Census 2011 basis,37037
2021-12-31,2021,15,F,90+,Census 2011 basis,18798
2021-12-31,2021,15,M,0-17,Census 2011 basis,167151
2021-12-31,2021,15,M,18-29,Census 2011 basis,110636
2021-12-31,2021,15,M,30-44,Census 2011 basis,206770
2021-12-31,2021,15,M,45-64,Census 2011 basis,325941
2021-12-31,2021,15,M,65-74,Census 2011 basis,139538
2021-12-31,2021,15,M,75-84,Census 2011 basis,91517
2021-12-31,2021,15,M,85-89,Census 2011 basis,19564
2021-12-31,2021,15,M,90+,Census 2011 basis,6026
2021-12-31,2021,16,F,0-17,Census 2011 basis,157489
2021-12-31,2021,16,F,18-29,Census 2011 basis,95954
2021-12-31,2021,16,F,30-44,Census 2011 basis,185219
2021-12-31,2021,16,F,45-64,Census 2011 basis,304777
2021-12-31,2021,16,F,65-74,Census 2011 basis,152966
2021-12-31,2021,16,F,75-84,Census 2011 basis,118566
2021-12-31,2021,16,F,85-89,Census 2011 basis,33124
2021-12-31,2021,16,F,90+,Census 2011 basis,16832
2021-12-31,2021,16,M,0-17,Census 2011 basis,166436
2021-12-31,2021,16,M,18-29,Census 2011 basis,108442
2021-12-31,2021,16,M,30-44,Census 2011 basis,206675
2021-12-31,2021,16,M,45-64,Census 2011 basis,314207
2021-12-31,2021,16,M,65-74,Census 2011 basis,137340
2021-12-31,2021,16,M,75-84,Census 2011 basis,86520
2021-12-31,2021,16,M,85-89,Census 2011 basis,18469
2021-12-31,2021,16,M,90+,Census 2011 basis,5847
2022-12-31,2022,01,F,0-17,Census 2022 basis,234463
2022-12-31,2022,01,F,18-29,Census 2022 basis,176030
2022-12-31,2022,01,F,30-44,Census 2022 basis,265678
2022-12-31,2022,01,F,45-64,Census 2022 basis,442460
2022-12-31,2022,01,F,65-74,Census 2022 basis,177635
2022-12-31,2022,01,F,75-84,Census 2022 basis,143871
2022-12-31,2022,01,F,85-89,Census 2022 basis,43541
2022-12-31,2022,01,F,90+,Census 2022 basis,20890
2022-12-31,2022,01,M,0-17,Census 2022 basis,246871
2022-12-31,2022,01,M,18-29,Census 2022 basis,189072
2022-12-31,2022,01,M,30-44,Census 2022 basis,265040
2022-12-31,2022,01,M,45-64,Census 2022 basis,426601
2022-12-31,2022,01,M,65-74,Census 2022 basis,159159
2022-12-31,2022,01,M,75-84,Census 2022 basis,112726
2022-12-31,2022,01,M,85-89,Census 2022 basis,27008
2022-12-31,2022,01,M,90+,Census 2022 basis,8238
2022-12-31,2022,02,F,0-17,Census 2022 basis,151259
2022-12-31,2022,02,F,18-29,Census 2022 basis,142203
2022-12-31,2022,02,F,30-44,Census 2022 basis,212749
2022-12-31,2022,02,F,45-64,Census 2022 basis,242152
2022-12-31,2022,02,F,65-74,Census 2022 basis,84105
2022-12-31,2022,02,F,75-84,Census 2022 basis,71117
2022-12-31,2022,02,F,85-89,Census 2022 basis,22632
2022-12-31,2022,02,F,90+,Census 2022 basis,11921
2022-12-31,2022,02,M,0-17,Census 2022 basis,162210
2022-12-31,2022,02,M,18-29,Census 2022 basis,139376
2022-12-31,2022,02,M,30-44,Census 2022 basis,211102
2022-12-31,2022,02,M,45-64,Census 2022 basis,240446
2022-12-31,2022,02,M,65-74,Census 2022 basis,71723
2022-12-31,2022,02,M,75-84,Census 2022 basis,52546
2022-12-31,2022,02,M,85-89,Census 2022 basis,12651
2022-12-31,2022,02,M,90+,Census 2022 basis,4483
2022-12-31,2022,03,F,0-17,Census 2022 basis,654043
2022-12-31,2022,03,F,18-29,Census 2022 basis,502437
2022-12-31,2022,03,F,30-44,Census 2022 basis,721309
2022-12-31,2022,03,F,45-64,Census 2022 basis,1168527
2022-12-31,2022,03,F,65-74,Census 2022 basis,477120
2022-12-31,2022,03,F,75-84,Census 2022 basis,353970
2022-12-31,2022,03,F,85-89,Census 2022 basis,114882
2022-12-31,2022,03,F,90+,Census 2022 basis,58260
2022-12-31,2022,03,M,0-17,Census 2022 basis,690601
2022-12-31,2022,03,M,18-29,Census 2022 basis,543866
2022-12-31,2022,03,M,30-44,Census 2022 basis,741888
2022-12-31,2022,03,M,45-64,Census 2022 basis,1149446
2022-12-31,2022,03,M,65-74,Census 2022 basis,439051
2022-12-31,2022,03,M,75-84,Census 2022 basis,276459
2022-12-31,2022,03,M,85-89,Census 2022 basis,68457
2022-12-31,2022,03,M,90+,Census 2022 basis,22631
2022-12-31,2022,04,F,0-17,Census 2022 basis,58211
2022-12-31,2022,04,F,18-29,Census 2022 basis,51650
2022-12-31,2022,04,F,30-44,Census 2022 basis,67938
2022-12-31,2022,04,F,45-64,Census 2022 basis,92124
2022-12-31,2022,04,F,65-74,Census 2022 basis,38456
2022-12-31,2022,04,F,75-84,Census 2022 basis,29955
2022-12-31,2022,04,F,85-89,Census 2022 basis,9502
2022-12-31,2022,04,F,90+,Census 2022 basis,4662
2022-12-31,2022,04,M,0-17,Census 2022 basis,61700
2022-12-31,2022,04,M,18-29,Census 2022 basis,56553
2022-12-31,2022,04,M,30-44,Census 2022 basis,71755
2022-12-31,2022,04,M,45-64,Census 2022 basis,90964
2022-12-31,2022,04,M,65-74,Census 2022 basis,32851
2022-12-31,2022,04,M,75-84,Census 2022 basis,22431
2022-12-31,2022,04,M,85-89,Census 2022 basis,5360
2022-12-31,2022,04,M,90+,Census 2022 basis,1646
2022-12-31,2022,05,F,0-17,Census 2022 basis,1480821
2022-12-31,2022,05,F,18-29,Census 2022 basis,1175608
2022-12-31,2022,05,F,30-44,Census 2022 basis,1704098
2022-12-31,2022,05,F,45-64,Census 2022 basis,2602171
2022-12-31,2022,05,F,65-74,Census 2022 basis,1042081
2022-12-31,2022,05,F,75-84,Census 2022 basis,757866
2022-12-31,2022,05,F,85-89,Census 2022 basis,253728
2022-12-31,2022,05,F,90+,Census 2022 basis,130938
2022-12-31,2022,05,M,0-17,Census 2022 basis,1566234
2022-12-31,2022,05,M,18-29,Census 2022 basis,1262944
2022-12-31,2022,05,M,30-44,Census 2022 basis,1735847
2022-12-31,2022,05,M,45-64,Census 2022 basis,2561901
2022-12-31,2022,05,M,65-74,Census 2022 basis,927419
2022-12-31,2022,05,M,75-84,Census 2022 basis,564870
2022-12-31,2022,05,M,85-89,Census 2022 basis,146727
2022-12-31,2022,05,M,90+,Census 2022 basis,51167
2022-12-31,2022,06,F,0-17,Census 2022 basis,518172
2022-12-31,2022,06,F,18-29,Census 2022 basis,404784
2022-12-31,2022,06,F,30-44,Census 2022 basis,608546
2022-12-31,2022,06,F,45-64,Census 2022 basis,898207
2022-12-31,2022,06,F,65-74,Census 2022 basis,354314
2022-12-31,2022,06,F,75-84,Census 2022 basis,258944
2022-12-31,2022,06,F,85-89,Census 2022 basis,81243
2022-12-31,2022,06,F,90+,Census 2022 basis,41740
2022-12-31,2022,06,M,0-17,Census 2022 basis,541377
